UAI;nom_etablissement;type;nature;type_contrat_brut;statut_contrat;adresse;code_postal;ville;code_dept;departement;region;telephone;email;site_web;siret;OPCO_probable;contact_decisionnaire;fonction_contact;profil_pedagogique_notes;etat
0922831C;Ecole primaire privée Beth Hilel;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;18 rue clément bayard;92300;Levallois-Perret;092;Hauts-de-Seine;Ile-de-France;0155638354;collegebethhilel@gmail.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0941962X;Ecole primaire privée Mariam Arabian;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT ASSOCIATION PARTIE DES CLASSES;Sous contrat;1-4 rue Komitas;94140;Alfortville;094;Val-de-Marne;Ile-de-France;0145183490;ce.0941962x@ac-creteil.fr;;39408516100013;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0942018H;Ecole primaire privée Timothée;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;89 rue ANDRE TESSIER;94120;Fontenay-sous-Bois;094;Val-de-Marne;Ile-de-France;0177014325;ce.0942018H@ac-creteil.fr;;39417726500011;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0942390M;Maternelle privée Gan Alef-Beth;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;19 rue DU COMMANDANT RENE MOUCHOTTE;94160;Saint-Mandé;094;Val-de-Marne;Ile-de-France;0148083773;ce.0942390M@ac-creteil.fr;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0950827H;Ecole primaire privée Sainte Geneviève;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;72 rue de la République;95100;Argenteuil;095;Val-d'Oise;Ile-de-France;0134117080;ce.0950827H@ac-versailles.fr;;78582983900022;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0950830L;Ecole primaire privée Institution Jeanne-d'Arc;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;14 rue Alsace Lorraine;95260;Beaumont-sur-Oise;095;Val-d'Oise;Ile-de-France;0134700110;ce.0950830L@ac-versailles.fr;;78583657800027;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0950846D;Ecole primaire privée Institution Notre-Dame;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;39 rue Saint Lazare;95290;L'Isle-Adam;095;Val-d'Oise;Ile-de-France;0134690107;ce.0950846D@ac-versailles.fr;;77574348700024;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0950847E;Ecole primaire privée Institution Marie-Thérèse;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;5 rue de Rouen;95420;Magny-en-Vexin;095;Val-d'Oise;Ile-de-France;0134671173;ce.0950847E@ac-versailles.fr;;78833535400023;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0080877K;Ecole primaire privée Notre-Dame;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1  PLACE DE LA BASILIQUE;08000;Charleville-Mézières;008;Ardennes;Grand Est;0324572682;ce.0080877k@ac-reims.fr;;78025508900028;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0080886V;Ecole primaire privée Saint Louis;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;27 rue Bournizet;08400;Vouziers;008;Ardennes;Grand Est;0324718376;ce.0080886v@ac-reims.fr;;40255708600020;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0100747H;Ecole primaire privée Sainte Thérèse;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;30 rue Beugnot;10200;Bar-sur-Aube;010;Aube;Grand Est;0325270994;ce.0100747h@ac-reims.fr;;78030187500016;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0100748J;Ecole primaire privée Henri Breton;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;3 rue du Palais de Justice;10110;Bar-sur-Seine;010;Aube;Grand Est;0325298270;ce.0100748j@ac-reims.fr;;78030278200021;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0100754R;Ecole primaire privée Louis Brisson;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;5 rue Sadi Carnot;10300;Sainte-Savine;010;Aube;Grand Est;0325791613;ce.0100754r@ac-reims.fr;;78033518800022;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0100761Y;Ecole primaire privée Saint Dominique Savio;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;13 rue Jeanne d'Arc;10000;Troyes;010;Aube;Grand Est;0325731770;ce.0100761y@ac-reims.fr;;78034837100029;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0101124T;Ecole Primaire privée Blanchefleur-Perceval;Ecole;ECOLE MATERNELLE;C0NTRAT SIMPLE POUR PARTIE DES CLASSES;Inconnu;147 avenue Pierre Brossolette;10000;Troyes;010;Aube;Grand Est;0325824044;ce.0101124t@ac-reims.fr;;30135221700055;À vérifier;;;;
0101138H;Groupe scolaire Eduk Ludik;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;40 boulevard Jules Guesde;10000;Troyes;010;Aube;Grand Est;0615134895;eduk.ludik@gmail.com;;;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0772456B;Ecole élémentaire privée Internationale Marne-La-Vallée;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;50 rue du 27 Août 1944 BP 26;77450;Montry;077;Seine-et-Marne;Ile-de-France;0160043470;ce.0772456B@ac-creteil.fr;;39248026500025;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0772700S;Ecole élémentaire privée de Sacré Coeur Enfant Jésus;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;3 avenue de Valvins;77920;Samois-sur-Seine;077;Seine-et-Marne;Ile-de-France;0164328143;ce.0772700S@ac-creteil.fr;;49246583600038;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0511346L;Ecole primaire privée Sainte Thérèse Verbeau;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;2 avenue du 29 Août 1944;51000;Châlons-en-Champagne;051;Marne;Grand Est;0326683529;ce.0511346l@ac-reims.fr;;78037133200013;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0511349P;Ecole primaire privée Saint Charles;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;6 rue Placet;51200;Epernay;051;Marne;Grand Est;0326552968;ce.0511349p@ac-reims.fr;;78038591000010;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0511353U;Ecole primaire privée Sainte Jeanne d'Arc;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;7 rue Gambetta;51500;Rilly-la-Montagne;051;Marne;Grand Est;0326034365;ce.0511353u@ac-reims.fr;;78043118500013;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0511355W;Ecole primaire privée Saint Louis;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;110 rue de la Maison Blanche;51100;Reims;051;Marne;Grand Est;0326058027;ce.0511355w@ac-reims.fr;;78042935300011;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0511827J;Ecole primaire privée Val des Bois;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;7 rue des Censes;51110;Warmeriville;051;Marne;Grand Est;0326038951;ce.0511827j@ac-reims.fr;;32311624400019;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0512197L;Ecole primaire privée Phoenix Montessori School;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;HORS CONTRAT;Hors contrat;13A route de Soissons;51430;Tinqueux;051;Marne;Grand Est;0626903084;phoenixmontessorischool@gmail.com;;89878939100023;AKTO ou autre selon CCN — vérifier IDCC via SIRET;;;;
0671843P;Ecole élémentaire Le Gymnase - Lucie Berger;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 rue des Greniers;67000;Strasbourg;067;Bas-Rhin;Grand Est;0388152800;ce.0671843P@ac-strasbourg.fr;;49106435800030;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750136R;E.P.PR SAINT-SAUVEUR 14 rue des Petits Carreaux;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;14 rue des Petits Carreaux;75002;Paris  2e  Arrondissement;075;Paris;Ile-de-France;0145080773;ce.0750136R@ac-paris.fr;;78420268100010;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750142X;E.P.PR SAINT JEAN GABRIEL 6 rue du Cloître Saint Merri;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;6 rue du Cloître Saint-Merri;75004;Paris  4e  Arrondissement;075;Paris;Ile-de-France;0142784481;ce.0750142X@ac-paris.fr;;32572238700017;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750154K;E.P.PR SEVIGNE 95 boulevard Arago;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;95 boulevard Arago;75014;Paris 14e  Arrondissement;075;Paris;Ile-de-France;0153101416;ce.0750154K@ac-paris.fr;;78425936800016;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750187W;E.P.PR JEANNINE MANUEL 141 avenue de Suffren;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;141 avenue de Suffren;75007;Paris  7e  Arrondissement;075;Paris;Ile-de-France;0142544583;ce.0750187W@ac-paris.fr;;33086327500039;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750203N;E.P.PR FENELON SAINTE-MARIE 95 rue de Monceau;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;95 rue de Monceau;75008;Paris  8e  Arrondissement;075;Paris;Ile-de-France;0145227774;ce.0750203N@ac-paris.fr;;77567111800039;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750206S;E.E.PR JEANNINE MANUEL 70 rue du Théâtre;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;70 rue du Théâtre;75015;Paris 15e  Arrondissement;075;Paris;Ile-de-France;0144370087;ce.0750206S@ac-paris.fr;;33086327500013;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750209V;E.P.PR NOTRE-DAME DE LORETTE 8 ter rue Choron;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;8 ter rue Choron;75009;Paris  9e  Arrondissement;075;Paris;Ile-de-France;0148785480;ce.0750209V@ac-paris.fr;;78440520100012;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750223K;E.P.PR SAINTE-MARGUERITE 16 rue Basfroi;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;16 rue Basfroi;75011;Paris 11e  Arrondissement;075;Paris;Ile-de-France;0143790096;ce.0750223K@ac-paris.fr;;30499332200011;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750229S;E.P.PR FENELON SAINTE-MARIE 7 rue de la Bienfaisance;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;7 rue de la Bienfaisance;75008;Paris  8e  Arrondissement;075;Paris;Ile-de-France;0145229167;ce.0750229S@ac-paris.fr;;77567111800054;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750261B;E.P.PR CHARLES DE FOUCAULD 12 rue des Jonquilles;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;12 rue des Jonquilles;75014;Paris 14e  Arrondissement;075;Paris;Ile-de-France;0145431817;ce.0750261B@ac-paris.fr;;78457333900024;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750274R;E.P.PR EC. LA SALLE - ND DE LA GARE 20 rue de Domrémy;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;20 rue de Domrémy;75013;Paris 13e  Arrondissement;075;Paris;Ile-de-France;0145835338;ce.0750274R@ac-paris.fr;;78454448800017;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750281Y;E.P.PR LA CROIX 25 rue Mathurin Régnier;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;25 rue Mathurin Régnier;75015;Paris 15e  Arrondissement;075;Paris;Ile-de-France;0143063398;ce.0750281Y@ac-paris.fr;;78461708600029;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750286D;E.P.PR SAINT-HONORE D'EYLAU 66 avenue Raymond Poincaré;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;66 avenue Raymond Poincaré;75016;Paris 16e  Arrondissement;075;Paris;Ile-de-France;0145531415;ce.0750286D@ac-paris.fr;;78466218100022;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750295N;E.P.PR L'ASSOMPTION 6 rue de Lubeck;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;6 rue de Lubeck;75016;Paris 16e  Arrondissement;075;Paris;Ile-de-France;0147200727;ce.0750295N@ac-paris.fr;;77568888000035;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750326X;E.E.PR SAINTE-MARIE DES BATIGNOLLES 77 rue Truffaut;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;77 rue Truffaut;75017;Paris 17e  Arrondissement;075;Paris;Ile-de-France;0146273349;ce.0750326X@ac-paris.fr;;78471360400014;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750341N;E.P.PR LE SACRE-COEUR 7 rue Jean Cottin;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;7 rue Jean Cottin;75018;Paris 18e  Arrondissement;075;Paris;Ile-de-France;0146073721;ce.0750341N@ac-paris.fr;;33458236800018;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750346U;E.P.PR SAINT-BERNARD SAINTE-MARIE 50 rue Stephenson;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;50 rue Stephenson;75018;Paris 18e  Arrondissement;075;Paris;Ile-de-France;0142584445;ce.0750346U@ac-paris.fr;;33482140200016;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0750597S;E.P.PR NOTRE-DAME DE LOURDES 16 rue Taclet;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;16 rue Taclet;75020;Paris 20e  Arrondissement;075;Paris;Ile-de-France;0140303375;ce.0750597S@ac-paris.fr;;78480864400016;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0752973Z;E.P.PR BETH ZALMI 16-20 rue Pétrarque;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT SIMPLE TOUTES CLASSES;Sous contrat;16 rue Pétrarque;75016;Paris 16e  Arrondissement;075;Paris;Ile-de-France;0145868399;ce.0752973Z@ac-paris.fr;;49025488500026;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0754701C;E.P.PR OR THORA 36 rue Ramponeau;Ecole;ECOLE DE NIVEAU ELEMENTAIRE;CONTRAT ASSOCIATION PARTIE DES CLASSES;Sous contrat;36 rue Ramponeau;75020;Paris 20e  Arrondissement;075;Paris;Ile-de-France;0140336414;ce.0754701C@ac-paris.fr;;;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0681793E;Lycée polyvalent privé Saint-Joseph de Cluny;Lycée;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;53 avenue Roger Salengro;68100;Mulhouse;068;Haut-Rhin;Grand Est;03 89 45 35 65;secretariat@lyceecluny-mulhouse.fr;http://www.lyceecluny-mulhouse.fr;77895211900023;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0940892J;Collège privé Bernard Palissy;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;2 rue Mercière;94470;Boissy-Saint-Léger;094;Val-de-Marne;Ile-de-France;01 45 69 20 13;ce.0940892j@ac-creteil.fr;https://cours-bernard-palissy.org/pages/collyc.php;34855722400014;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0940877T;Lycée Notre-Dame de la Providence;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;41 rue de Fontenay;94300;Vincennes;094;Val-de-Marne;Ile-de-France;01 43 28 03 59;ce.0940877t@ac-creteil.fr;http://www.laprovidence.fr;78580750400044;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0781587B;Collège l'Ermitage, École internationale de France;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;18 rue des côtes;78600;Maisons-Laffitte;078;Yvelines;Ile-de-France;01 39 62 09 54;0781587B@ac-versailles.fr;http://www.ermitage.fr/index.cfm;33894458000020;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0941407U;Lycée professionnel CE3P - École de photographie et des techniques de l'image;Lycée;LYCEE PROFESSIONNEL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;5 rue René Robin;94200;Ivry-sur-Seine;094;Val-de-Marne;Ile-de-France;01 46 58 45 20;info@ce3p.com;http://www.ce3p.com;78572178800020;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0920918Y;Lycée Jeanne d'Arc;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;44 rue Gabriel-Péri;92120;Montrouge;092;Hauts-de-Seine;Ile-de-France;01 42 53 18 95;secretariat.secondaire@jamontrouge.com;http://www.jamontrouge.com/;78540647100017;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0753985Z;Collège privé Saint-Vincent-de-Paul;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;49 rue Bobillot;75013;Paris;075;Paris;Ile-de-France;01 45 80 77 90;st.vincent.de.paul75.bobillot@wanadoo.fr;http://www.gs-svp.com;78454446200020;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0680137E;Collège privé Sainte-Marie;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;15 rue de Lutzelbach;68150;Ribeauvillé;068;Haut-Rhin;Grand Est;03 89 73 64 18;college.stemarie@orange.fr;https://www.stemarie-ribeau.fr/;53329492200034;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0080093H;Lycée professionnel Jeanne d'Arc;Lycée;LYCEE PROFESSIONNEL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;27 rue Bournizet;08400;Vouziers;008;Ardennes;Grand Est;03 24 71 83 76;ce.0080093h@ac-reims.fr;https://lyceejeannedarcvouziers.fr/;40255708600012;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0783340G;Collège Mercier Saint-Paul;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 rue des Annonciades;78250;Meulan-en-Yvelines;078;Yvelines;Ile-de-France;01 34 92 84 20;0783340G@ac-versailles.fr;http://www.mercier-st-paul.fr;78509760100039;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0080995N;Collège Mabillon;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;23 avenue Martyrs de la Résistance BP 80312;08201;Sedan;008;Ardennes;Grand Est;03 24 27 12 01;ce.0080995N@ac-reims.fr;http://www.mabillon.net;78028773600034;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0951509Z;Annexe Oscar Romero du collège La Salle - Saint-Rosaire de Sarcelles;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;5 rue Gambetta;95140;Garges-lès-Gonesse;095;Val-d'Oise;Ile-de-France;01 39 93 89 14;secretariat-direction@strosaire95.org;http://www.strosaire95.org;30405473700032;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0754239A;Lycée polyvalent privé Saint-Jean de Montmartre;Lycée;LYCEE POLYVALENT;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;31 rue Caulaincourt;75018;Paris;075;Paris;Ile-de-France;01 46 06 03 08;secretariat@stjeandemontmartre.com;https://stjeandemontmartre.com/;78475421000028;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0783351U;Lycée Notre-Dame du Grandchamp;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;97 rue Royale;78000;Versailles;078;Yvelines;Ile-de-France;01 39 24 12 80;0783351U@ac-versailles.fr;http://www.nd-grandchamp.fr;78515045900010;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0511678X;Lycée agricole de Somme-Suippe;Lycée;LYCEE PROFESSIONNEL;SOUS CONTRAT ETABLISSEMENT AGRICOLE;Sous contrat;1 rue du Levant;51600;Somme-Suippe;051;Marne;Grand Est;03 26 70 13 43;contact@lyceesommesuippe.fr;https://lyceesommesuippe.fr;30235435200015;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0520692V;Lycée professionnel privé ESTIC;Lycée;LYCEE PROFESSIONNEL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 bis rue Maréchal de Lattre de Tassigny;52115;Saint-Dizier;052;Haute-Marne;Grand Est;03 25 56 51 73;contact@estic.fr;http://www.estic.fr/;32506046500045;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0520685M;Lycée privé Oudinot;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;Route de Neuilly;52000;Chaumont;052;Haute-Marne;Grand Est;03 25 30 37 00;ce.0520685m@ac-reims.fr;http://www.oudinot.org;77561319300074;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0772953S;Collège privé Saint-Colomban;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;110 boulevard du Champ du Moulin;77700;Serris;077;Seine-et-Marne;Ile-de-France;01.64.63.17.24;ce.0772953S@ac-creteil.fr;https://saintcolomban.eu/index.php/le-college/;;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0672305S;Lycée professionnel privé Sainte Clotilde;Lycée;LYCEE PROFESSIONNEL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;19 rue de Verdun;67083;Strasbourg;067;Bas-Rhin;Grand Est;03 88 45 57 20;info@clotilde.org;http://www.clotilde.org;53329492200075;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0572925V;Collège de la Salle;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;2 rue Saint-Maximin;57070;Metz;057;Moselle;Grand Est;03 87 20 02 00;ce.0572925@ac-nancy-metz.fr;https://www.dlsmetz.net/college/;78000231700029;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0682072H;Lycée privé Institution Champagnat;Lycée;LYCEE D ENSEIGNEMENT GENERAL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;1 rue Saint-Marcellin Champagnat;68500;Issenheim;068;Haut-Rhin;Grand Est;03 89 76 86 61;ecolechampagnat68@gmail.com;http://www.maristes-champagnat68.com;77892256700012;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0753992G;Collège privé Saint-Joseph;Collège;COLLEGE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;13 place Étienne Pernet;75015;Paris;075;Paris;Ile-de-France;01 56 56 80 00;st-joseph75015@wanadoo.fr;http://www.stjoseph-grenelle.fr/;78461704500017;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0941724N;Lycée professionnel Claude Nicolas Ledoux - EBTP;Lycée;LYCEE PROFESSIONNEL;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;32 rue de la paix;94307;Vincennes;094;Val-de-Marne;Ile-de-France;01 48 08 11 21;secretariat@ebtp.info;http://ledoux-ebtp.com;30861967500025;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
0783323N;Lycée Saint-Thomas de Villeneuve;Lycée;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;CONTRAT D'ASSOCIATION TOUTES CLASSES;Sous contrat;15 rue des Louviers;78100;Saint-Germain-en-Laye;078;Yvelines;Ile-de-France;01 39 10 34 00;0783323N@ac-versailles.fr;http://www.stv-st-germain.fr;78512432200039;AKTO (CCN EPNL — IDCC 3218 probable, hors enseignants payés par État);;;;
